seed,episode,policy,reward,Synthetic Cost Index,success,fuel_depletion,bunkering_count,termination_reason
42,0,double_dqn,0.0,813274.3244361178,true,false,3,arrived
43,1,double_dqn,0.21473246939475815,881288.9784057627,true,false,14,arrived
44,2,double_dqn,0.0,1040105.5446929359,true,false,3,arrived
45,3,double_dqn,0.17466111660359007,810304.1793388904,true,false,13,arrived
46,4,double_dqn,0.009068490328154634,862992.1298853174,true,false,4,arrived
47,5,double_dqn,0.023828309577246173,775687.6654737233,true,false,4,arrived
48,6,double_dqn,0.0,914051.4275579258,true,false,4,arrived
49,7,double_dqn,0.0,830257.0329776802,true,false,3,arrived
50,8,double_dqn,0.2696957781959353,920120.0024954687,true,false,16,arrived
51,9,double_dqn,0.18852398352577157,845218.2495469361,true,false,11,arrived
52,10,double_dqn,0.008403954270631184,890022.4831849438,true,false,4,arrived
53,11,double_dqn,0.028036310852231443,892155.9333129177,true,false,4,arrived
54,12,double_dqn,0.025802685746341855,806227.7041434218,true,false,4,arrived
55,13,double_dqn,0.009706119663358399,881650.3977437111,true,false,4,arrived
56,14,double_dqn,0.0,845843.6848377925,true,false,4,arrived
57,15,double_dqn,0.15723590251395725,971446.0883666988,true,false,12,arrived
58,16,double_dqn,0.08890609358083616,835949.8992359365,true,false,6,arrived
59,17,double_dqn,0.05597413770303093,904413.9550354488,true,false,7,arrived
60,18,double_dqn,0.004136167361241494,845546.1227640186,true,false,4,arrived
61,19,double_dqn,0.0,827169.4419077209,true,false,4,arrived
62,20,double_dqn,0.0217759903277648,700841.6072726457,true,false,4,arrived
63,21,double_dqn,0.0,859405.8235412928,true,false,3,arrived
64,22,double_dqn,0.025977351730992755,742912.0516647235,true,false,4,arrived
65,23,double_dqn,0.0024052172533715445,746196.5092432611,true,false,4,arrived
66,24,double_dqn,0.01629389706318834,711901.8399645342,true,false,3,arrived
67,25,double_dqn,0.07135997561837364,844380.1712902945,true,false,8,arrived
68,26,double_dqn,0.0636169736287541,1076819.276383691,true,false,4,arrived
69,27,double_dqn,0.0,859586.9160304349,true,false,3,arrived
70,28,double_dqn,0.0,974057.7862071013,true,false,4,arrived
71,29,double_dqn,0.07081667852060297,916448.2256081736,true,false,5,arrived
72,30,double_dqn,0.017535447818321205,763975.2133652775,true,false,4,arrived
73,31,double_dqn,0.018777640382970886,788167.2691032983,true,false,4,arrived
74,32,double_dqn,0.047192237506398296,840299.8582460987,true,false,3,arrived
75,33,double_dqn,0.019408357013617043,780703.952561702,true,false,4,arrived
76,34,double_dqn,0.005184701998727539,876467.0348466937,true,false,4,arrived
77,35,double_dqn,0.09395526283691981,842224.4521210636,true,false,5,arrived
78,36,double_dqn,0.0,823800.4313916806,true,false,4,arrived
79,37,double_dqn,0.015830672549734505,962154.7940710506,true,false,3,arrived
80,38,double_dqn,0.027531884891066862,941320.2491371547,true,false,3,arrived
81,39,double_dqn,0.04534082431867175,1043872.923482657,true,false,6,arrived
82,40,double_dqn,0.06043954566768519,1069787.8814075533,true,false,4,arrived
83,41,double_dqn,0.006913054340503505,669679.9885157282,true,false,4,arrived
84,42,double_dqn,0.07011280837199517,744710.0928701669,true,false,8,arrived
85,43,double_dqn,0.015626531261357313,928127.2903321182,true,false,3,arrived
86,44,double_dqn,0.0,759973.2692693693,true,false,4,arrived
87,45,double_dqn,0.049554353322402794,980518.1526220507,true,false,4,arrived
88,46,double_dqn,0.00575377897664827,834114.0061348914,true,false,4,arrived
89,47,double_dqn,0.02424079879408018,827987.0855348376,true,false,4,arrived
90,48,double_dqn,0.04366145339248741,1018313.0687629372,true,false,5,arrived
91,49,double_dqn,0.007032916460892944,943495.7935736608,true,false,4,arrived
92,50,double_dqn,-0.006273048271855981,650380.9661862059,true,false,7,arrived
93,51,double_dqn,0.0,945281.185000222,true,false,3,arrived
94,52,double_dqn,0.07371512635914768,1015391.3665009518,true,false,5,arrived
95,53,double_dqn,0.15123948701103665,784806.8162028602,true,false,8,arrived
96,54,double_dqn,0.0077275313972218745,768983.4823505636,true,false,4,arrived
97,55,double_dqn,0.2639267020409575,882682.3862703652,true,false,15,arrived
98,56,double_dqn,0.023165506708746147,695141.0599112823,true,false,4,arrived
99,57,double_dqn,0.020160325948191393,956474.7817835824,true,false,4,arrived
100,58,double_dqn,0.0,820895.1303204875,true,false,4,arrived
101,59,double_dqn,0.09185883917800673,793672.0669628319,true,false,6,arrived
102,60,double_dqn,0.02379517288770467,1024951.240580006,true,false,4,arrived
103,61,double_dqn,0.0958865302784634,730465.4133290723,true,false,5,arrived
104,62,double_dqn,0.0,858463.6242423318,true,false,3,arrived
105,63,double_dqn,0.05632837508707636,834161.8130305405,true,false,4,arrived
106,64,double_dqn,0.01319798381500638,860842.4628422378,true,false,3,arrived
107,65,double_dqn,0.0,819922.6700272352,true,false,3,arrived
108,66,double_dqn,0.04823373367594035,1144933.4947436047,true,false,3,arrived
109,67,double_dqn,0.0,929254.9987351664,true,false,3,arrived
110,68,double_dqn,0.0011877319107316889,974719.8998767303,true,false,3,arrived
111,69,double_dqn,0.1779933729980414,859242.7734281457,true,false,16,arrived
112,70,double_dqn,0.022942976761339374,707143.4179470243,true,false,5,arrived
113,71,double_dqn,0.01365914552512448,971753.9841057542,true,false,3,arrived
114,72,double_dqn,0.022491078760571256,747479.8233692958,true,false,4,arrived
115,73,double_dqn,0.06941611911198303,913343.0854882551,true,false,4,arrived
116,74,double_dqn,0.019530748759100557,732668.6128204959,true,false,3,arrived
117,75,double_dqn,0.06101277371866842,843842.5364598652,true,false,6,arrived
118,76,double_dqn,0.011374788106899967,845613.8448427862,true,false,4,arrived
119,77,double_dqn,0.04281297215292927,787544.2224437395,true,false,4,arrived
120,78,double_dqn,0.04321658824217031,744741.4177598095,true,false,4,arrived
121,79,double_dqn,0.15246340987663837,900608.340068784,true,false,7,arrived
122,80,double_dqn,0.050245530815034634,686130.9551956154,true,false,9,arrived
123,81,double_dqn,0.0,744569.9680645377,true,false,4,arrived
124,82,double_dqn,0.07373609421874175,802475.448962254,true,false,5,arrived
125,83,double_dqn,-0.0922009143539293,612065.0101432432,true,false,26,arrived
126,84,double_dqn,0.07250933586812368,735668.912292779,true,false,5,arrived
127,85,double_dqn,0.05503864305936958,727119.1559835258,true,false,5,arrived
128,86,double_dqn,0.08959495131186185,929884.2366874288,true,false,4,arrived
129,87,double_dqn,0.0675692061807569,918711.9063583829,true,false,7,arrived
130,88,double_dqn,0.0400141191394761,759676.8160176512,true,false,4,arrived
131,89,double_dqn,0.007649233841295915,945303.451617242,true,false,4,arrived
132,90,double_dqn,0.08034822023225521,798098.5730489616,true,false,4,arrived
133,91,double_dqn,0.016398861489114857,823294.5750871724,true,false,4,arrived
134,92,double_dqn,0.07959506449812748,815912.0437163553,true,false,5,arrived
135,93,double_dqn,0.11946485218021724,934181.8459259615,true,false,7,arrived
136,94,double_dqn,0.01720433916723652,922777.461545167,true,false,7,arrived
137,95,double_dqn,0.05178969173014532,730780.387899054,true,false,9,arrived
138,96,double_dqn,0.03212949667970014,698065.1487469068,true,false,5,arrived
139,97,double_dqn,0.009696612065376817,835701.2117632125,true,false,4,arrived
140,98,double_dqn,0.009376363768615083,737823.6851047134,true,false,4,arrived
141,99,double_dqn,0.041991232886308905,742178.5266868309,true,false,4,arrived
