Warning: truncated output (original token count: 39953)
Total output lines: 2077

iso_week,chokepoint_id,vessel_type,transit_count,year,observation_date,transit_baseline,transit_baseline_ratio
5,Suez,Other,117.0,2022,2022-01-31,102.0,1.1470588235294117
5,Suez,Tanker,92.0,2022,2022-01-31,94.5,0.9735449735449735
5,Taiwan Strait,Cargo,571.0,2022,2022-01-31,546.75,1.044352994970279
5,Taiwan Strait,Other,217.0,2022,2022-01-31,222.25,0.9763779527559056
5,Taiwan Strait,Tanker,158.0,2022,2022-01-31,180.75,0.8741355463347165
6,Bab-Al Mandab Strait,Cargo,179.0,2022,2022-02-07,169.2,1.0579196217494091
6,Bab-Al Mandab Strait,Other,138.0,2022,2022-02-07,117.2,1.1774744027303754
6,Bab-Al Mandab Strait,Tanker,126.0,2022,2022-02-07,109.6,1.1496350364963503
6,Cape of Good Hope,Cargo,60.0,2022,2022-02-07,61.4,0.9771986970684039
6,Cape of Good Hope,Other,191.0,2022,2022-02-07,190.6,1.0020986358866737
6,Cape of Good Hope,Tanker,85.0,2022,2022-02-07,81.6,1.0416666666666667
6,Dover,Cargo,670.0,2022,2022-02-07,655.2,1.0225885225885225
6,Dover,Other,189.0,2022,2022-02-07,171.2,1.1039719626168225
6,Dover,Tanker,433.0,2022,2022-02-07,422.6,1.024609559867487
6,Hormuz,Cargo,137.0,2022,2022-02-07,104.2,1.3147792706333972
6,Hormuz,Other,104.0,2022,2022-02-07,82.0,1.2682926829268293
6,Hormuz,Tanker,329.0,2022,2022-02-07,312.8,1.0517902813299231
6,Suez,Cargo,168.0,2022,2022-02-07,155.8,1.0783055198973042
6,Suez,Other,130.0,2022,2022-02-07,105.0,1.2380952380952381
6,Suez,Tanker,102.0,2022,2022-02-07,94.0,1.0851063829787233
6,Taiwan Strait,Cargo,663.0,2022,2022-02-07,551.6,1.2019579405366208
6,Taiwan Strait,Other,255.0,2022,2022-02-07,221.2,1.1528028933092225
6,Taiwan Strait,Tanker,215.0,2022,2022-02-07,176.2,1.2202043132803633
7,Bab-Al Mandab Strait,Cargo,168.0,2022,2022-02-14,170.83333333333334,0.9834146341463414
7,Bab-Al Mandab Strait,Other,91.0,2022,2022-02-14,120.66666666666667,0.7541436464088398
7,Bab-Al Mandab Strait,Tanker,105.0,2022,2022-02-14,112.33333333333333,0.9347181008902078
7,Cape of Good Hope,Cargo,62.0,2022,2022-02-14,61.166666666666664,1.013623978201635
7,Cape of Good Hope,Other,213.0,2022,2022-02-14,190.66666666666666,1.117132867132867
7,Cape of Good Hope,Tanker,87.0,2022,2022-02-14,82.16666666666667,1.0588235294117647
7,Dover,Cargo,504.0,2022,2022-02-14,657.6666666666666,0.7663456664977193
7,Dover,Other,175.0,2022,2022-02-14,174.16666666666666,1.0047846889952154
7,Dover,Tanker,380.0,2022,2022-02-14,424.3333333333333,0.8955223880597015
7,Hormuz,Cargo,144.0,2022,2022-02-14,109.66666666666667,1.3130699088145896
7,Hormuz,Other,103.0,2022,2022-02-14,85.66666666666667,1.2023346303501945
7,Hormuz,Tanker,373.0,2022,2022-02-14,315.5,1.1822503961965134
7,Suez,Cargo,142.0,2022,2022-02-14,157.83333333333334,0.8996832101372756
